제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
조코딩의 랭체인으로 AI 에이전트 서비스 만들기,"조동근, 우성우",한빛미디어,2025년 07월,32000,28800,11,"2,313",N/A,"“AI 서비스를 '사용'만 하지 말고 직접 '만드는' 사람이 되어 보세요!”IT 크리에이터 조코딩의 AI 에이전트 가이드북AI 서비스를 사용만 하는 걸 넘어, 누구나 AI 서비스를 직접 만들 수 있는 시대가 왔다. 『조코...",https://www.yes24.com/product/goods/149201698
MCP로 똑똑하게 일하는 법,케이트리,제이펍,2025년 06월,22000,19800,10,"5,406",N/A,"MCP 하나로 당신의 AI는 ‘일하는 존재’가 된다 AI는 이제 단순한 대화 상대를 넘어, 실질적인 ‘일’을 함께 수행하는 동료로 진화하고 있다. 이 책은 이러한 진화를 이끄는 핵심 기술인 MCP(Model Context Protoc...",https://www.yes24.com/product/goods/147562901
챗GPT와 함께하는 주식 데이터 분석,이진규 /김동준 감수,영진닷컴,2025년 08월,22000,19800,22,"2,067",N/A,"누구나 따라 할 수 있는 주식 데이터 분석!『챗GPT와 함께하는 주식 데이터 분석』은 복잡한 코딩 없이도 챗GPT와 파이썬을 활용해 주가 데이터를 수집·분석하고, 실제 투자 전략을 구현하는 과정을 안내하는 실용서...",https://www.yes24.com/product/goods/150724085
LLM 프롬프트 활용 교과서,쿠지라 히코즈쿠에 /김성훈 역,길벗,2025년 08월,33000,29700,11,"1,434",N/A,"책을 읽고 바로 활용하는 순간, 내가 사용하는 AI가 달라진다!업무든 일상이든 이제 생성형 AI를 쓰지 않는 사람을 찾기 힘든 시대입니다. 하지만, 기대만큼 답변을 얻지 못한다면 생성형 AI라는 도구가 있다 한들 ...",https://www.yes24.com/product/goods/152470295
밑바닥부터 시작하는 딥러닝 2,사이토 고키 /개앞맵시 역,한빛미디어,2019년 05월,29000,26100,45,"5,652",N/A,직접 구현하면서 배우는 본격 딥러닝 입문서 이번에는 순환 신경망과 자연어 처리다! 이 책은 『밑바닥부터 시작하는 딥러닝』에서 다루지 못했던 순환 신경망(RNN)을 자연어 처리와 시계열 데이터 처리에 사용하는 ...,https://www.yes24.com/product/goods/72173703
열정민쌤의 챗GPT&AI 수업 실전서,"원정민, 권혜영, 신명진, 이채연",한빛미디어,2025년 05월,20000,18000,40,"5,796",N/A,"오늘 배워서 내일 바로 쓸 수 있는, 교사를 위한 진짜 쉬운 AI 수업 실전서!『열정민쌤의 챗GPT & AI 수업 실전서』는 AI를 수업에 접목해온 현직 교사들이 집필한 실용적인 가이드북이다. 단순한 도구 소개를 넘어,...",https://www.yes24.com/product/goods/146143006
AI로 만드는 나만의 그림책,"민진홍, 국난아",성안당,2025년 10월,25000,22500,7,828,N/A,"인공지능 시대, 1인 출판의 길이 활짝 열렸다. 먼저 갈 것인가, 따라갈 것인가의 차이만 있을 뿐. AI 시대의 뉴노멀 창작 패러다임을 미리 체험하는 이 책은 실제 챗GPT로 글을 만들고 달리3와 미드저니로 일러스트...",https://www.yes24.com/product/goods/155149859
챗GPT 공부 혁명,"전지영, 백수현, 이효진, 장수영, 손소영",포르체,2025년 08월,23000,20700,14,"1,617",N/A,국영수사과 완전 정복! 과목별 맞춤 AI 공부법현직 중고등 교사들이 알려 주는 챗GPT 활용 전 과목 완전 정복!이미 많은 학생이 챗GPT를 활용하고 있지만 제대로 된 안내서가 없어 그 가능성과 활용이 무궁무진한 챗...,https://www.yes24.com/product/goods/150556693
7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이,홍순성,한빛미디어,2024년 12월,25000,22500,19,"9,030",N/A,"장비도, 스튜디오도, 배우도, 성우도 없다!비전문가도 크리에이터가 되는 AI 영상 제작 & 편집 완벽 가이드이 책은 시나리오 작성부터 컷 영상과 배경 음악을 만들고 편집하는 등 영상을 제작하는 모든 단계에 7가지...",https://www.yes24.com/product/goods/139799674
챗GPT와 엑셀로 만드는 주식 & 암호화폐 자동매매 시스템,설근민,제이펍,2025년 08월,25000,22500,6,"1,692",N/A,"누구나 할 수 있는 AI 기반 트레이딩 시스템 구축 엑셀 VBA와 챗GPT로 완성하는 금융 자동화의 시작! 복잡한 엑셀 VBA는 몰라도 괜찮다. 챗GPT에 질문하고, 챗GPT가 만들어준 코드를 엑셀에 붙여넣기만 하면 자동화 ...",https://www.yes24.com/product/goods/151170115
한 권으로 끝내는 실전 LLM 파인튜닝,강다솔,위키북스,2024년 12월,28000,25200,9,"8,280",N/A,"실무 현장에서 꼭 필요한 파인튜닝, PEFT, vLLM 서빙 기술을 직접 실습하면서 배워 보자!AI 기술의 최전선에서 배우는 LLM 파인튜닝의 모든 것! 이론적 토대부터 실전 활용까지 단계별로 마스터할 수 있다. NLP의 역...",https://www.yes24.com/product/goods/140002006
처음 만나는 인공지능,"김대수, 김경동",생능출판사,2023년 12월,27000,27000,0,"2,622",N/A,최근에 도입된 ChatGPT와 더불어 인공지능의 물결이 세차게 다가오고 있다. 최근 4차 산업혁명 시대에 접어들면서 인공지능의 중요성이 더욱 커지고 있다. 미국을 비롯한 세계 각국에서 인공지능의 중요성을 강조하...,https://www.yes24.com/product/goods/124009226
Do it! 플러터 앱 개발&출시하기,조준수,이지스퍼블리싱,2025년 07월,36000,32400,5,"1,920",N/A,"플러터 분야 1위!AI 활용법과 최신 기술을 담아 더 강력하게 돌아왔다!수익 구조를 포함한 앱 기획부터 디자인, 개발, 출시, AI 활용까지 한 권으로 배우자‘수익화 앱’을 만들어 보는 『Do it! 플러터 앱 개발 & ...",https://www.yes24.com/product/goods/147871988
챗GPT 프롬프트 120% 질문 기술,ChatGPT 비즈니스 연구회 /김모세 역,정보문화사,2024년 04월,15000,13500,37,"10,251",N/A,"업무 속도를 10배 상승시키는 ChatGPT 진짜 활용법!ChatGPT의 등장은 전 세계에 ‘혁명’을 가져왔다. 인공지능은 더 이상 전문가들만의 전유물이 아니며, ChatGPT를 통해 누구든 인공지능을 손쉽게 사용하고 편리함...",https://www.yes24.com/product/goods/126181417
선생님을 위한 교육용 AI 챗봇 활용법,"임세범, 박지은, 나희정, 조정연",앤써북,2025년 06월,22500,20250,10,"2,253",N/A,"생성형 AI는 교실 안팎의 학습 환경을 완전히 바꾸어 놓았습니다. ""생성형 AI를 허용할 것인가?""가 아닌, ""어떻게 교육적으로 활용할 것인가?""로 바뀌었습니다. 그 중에서도 GPT 기반의 교육용 챗봇은 학생의 학습을...",https://www.yes24.com/product/goods/146929026
모두의 인공지능 with 파이썬,이영호,길벗,2025년 07월,30000,27000,14,"2,061",N/A,"가장 쉬운 인공지능 입문서, 생성형 AI를 반영해 한층 더 탄탄하게 돌아왔다!그동안 인공지능 입문서로 제 역할을 톡톡히 해낸 『모두의 인공지능 with 파이썬』이 요즘 주목 받고 있는 생성형 인공지능을 담아 기존...",https://www.yes24.com/product/goods/149224228
수학자와 함께하는 인공지능 수학 with 파이썬,"김종락, 원병선",한빛아카데미,2024년 01월,32000,31360,4,"3,885",N/A,수학과 머신러닝·딥러닝의 연결고리로 인공지능을 이해한다!인공지능 기술을 잘 이해하고 활용하려면 이론적 기반이 되는 수학 원리와 알고리즘을 반드시 이해해야 한다. 이 책은 수학자의 친절한 해설로 인공지능에...,https://www.yes24.com/product/goods/124832401
네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make,조영빈,디지털북스,2025년 04월,20000,18000,10,"4,167",N/A,"매일 블로그에 글을 작성하지 않아도 블로그 최적화를 이룩할 수 있다!""챗GPT, 재피어(Zapier), 메이크(Make)로 구현하는 블로그마케팅 자동화의 모든 것“국내에서 가장 많은 사람들이 사용하는 블로그인 네이버 블...",https://www.yes24.com/product/goods/145343581
개발자를 위한 생성형 AI 활용 가이드,핫토리 유우키 /하승민 역,길벗,2025년 09월,28000,25200,10,"1,197",N/A,"프롬프트 작성부터 코드 리뷰까지,개발 워크플로 전반에 AI를 활용하는 방법! 개발자 맞춤형 생성형 AI 활용 가이드!생성형 AI 시대, 개발자의 역할은 빠르게 진화하고 있습니다. 이 책은 다양한 생성형 AI 도구를 ...",https://www.yes24.com/product/goods/153827070
OpenCV-Python으로 배우는 영상처리 및 응용,"정성환, 배종욱",생능출판사,2020년 11월,35000,35000,5,"2,172",N/A,"이 책은 독자들에게 영상처리의 기본 이론과 응용 분야에서 실제적 도움이 되기를 바라는 마음에서 3개의 부, 12개의 장으로 구성하였다. 각 부로 나눈 이유는 영상처리 이론을 단계적으로 이해하면서, 동시에 OpenC...",https://www.yes24.com/product/goods/95785417
정말 쉽네? 챗GPT 입문,오힘찬,골든래빗,2024년 10월,22000,19800,150,"9,204",N/A,"베스트셀러 『이게 되네? 챗GPT 미친 활용법 51제』 저자의 ‘최고로 쉬운 챗GPT’ 신작 전격 출간’기본 + 응용 프롬프트 196가지, 비법 프롬프트 47가지로 기초 프롬프트부터 수익형 실전 프롬프트와 쉬운 활용 프...",https://www.yes24.com/product/goods/133846138
미드저니 마스터 바이블,조남경,비엘북스,2025년 04월,33000,29700,7,"4,230",N/A,"V7으로 더욱 강력해진 최고의 이미지 생성 AI 툴, 미드저니!“너는 상상만 해. 나머지는 미드저니(Midjourney)에게 맡겨!”이 책은 미드저니(Midjourney)를 처음 접하는 입문자부터, 창작의 깊이를 더하고 싶은 고급...",https://www.yes24.com/product/goods/145099755
2022 개정과 IB 교육 철학을 적용한 초등 개념기반 탐구수업•서술형평가 설계와 실천,진경오,앤써북,2025년 05월,21000,18900,12,"2,499",N/A,『2022 개정과 IB 교육 철학을 적용한 초등 개념기반 탐구수업·서술형 평가 설계와 실천』 책은 2022 개정 교육과정과 IB 교육 철학의 핵심인 ‘개념 기반 탐구’와 ‘서술형 평가’를 초등 교육에 실제로 구현한 생...,https://www.yes24.com/product/goods/147034290
개발자를 위한 필수 수학,토머스 닐드 /박해선 역,한빛미디어,2024년 06월,30000,27000,36,"7,644",N/A,"개발자를 구원하는 실용 수학 안내서기초 수학부터 회귀 모델, 신경망 그리고 진로 조언까지 데이터 과학, 머신러닝, 통계학에서 탁월한 능력을 발휘하는 데 필요한 수학을 이해하고 여러분의 것으로 만들어보자. 이...",https://www.yes24.com/product/goods/126804246
입상 교사만 아는 아무도 말해주지 않은 수업혁신사례연구대회 1등급의 비밀,"임은빈, 송경은, 김은진, 신혜원, 김진희  외 2명
                                        
정보 더 보기/감추기



임은빈
송경은
김은진
신혜원
김진희
임민지
노기현",앤써북,2025년 06월,24000,21600,24,"3,192",N/A,수업혁신사례연구대회 전국대회 1등급 우수 입상자 7인이 알려주는 보고서 작성의 A to Z티처빌 쌤동네 1위 강사의 입상 전략 전격 공개 교사를 위한 수업혁신사례연구대회 실전형 보고서 작성 매뉴얼 총망라 입상 ...,https://www.yes24.com/product/goods/147065285
"1인 앱 개발, 커서 AI와 함께 배우기",이석현,아이콕스(iCox),2025년 09월,30000,27000,1,822,N/A,"챗GPT로 기획하고, 커서 AI로 개발한다.구글 플레이스토어 출시와 광고 수익화까지….1인 개발의 전 과정을 담은 실전 가이드북코딩 전문가가 아니더라도, 아이디어만 있다면 1인 개발이 가능한 시대가 열렸다. 이 ...",https://www.yes24.com/product/goods/152449732
밑바닥부터 시작하는 딥러닝 4,사이토 고키 /개앞맵시 역,한빛미디어,2024년 01월,30000,27000,13,"4,638",N/A,"『밑바닥부터 시작하는 딥러닝』 시리즈, 이번엔 강화 학습이다! 강화 학습 핵심 이론부터 문제 풀이, 심층 강화 학습까지 한 권에!이 책의 특징은 제목 그대로 ‘밑바닥부터 만들어가는 것’이다. 속을 알 수 없는 ...",https://www.yes24.com/product/goods/124640233
커서 AI로 나만의 수익형 앱 서비스 만들기,빈센트,루비페이퍼,2025년 06월,28000,25200,2,"3,276",N/A,"나 홀로 아이디어 발굴부터 디자인, 코딩, 수익화까지나만의 앱 서비스를 꿈꾸는 당신을 위한 단 한 권의 매뉴얼이전까지 앱 서비스 하나를 만드는 데는 꽤 많은 시간과 배경지식이 필요했다. 기획, 개발, 디자인, ...",https://www.yes24.com/product/goods/147127904
Must Have 코드팩토리의 플러터 프로그래밍,최지호,골든래빗,2025년 01월,44000,39600,2,"3,690",N/A,"생성형 AI 기술을 사용한 〈AI 챗봇〉 앱 개발 예제 추가!인프런 NO.1 플러터 강사와 함께 현업 수준으로 실력 끌어올려보세요!앱 개발, 관심은 많지만 시작하기 어려운가? 코드팩토리의 플러터 프로그래밍 한 권이...",https://www.yes24.com/product/goods/140837116
M365 코파일럿 무작정 따라하기,"김시연, 서지영",길벗,2025년 04월,22000,19800,5,"2,880",N/A,"일잘러를 위한 최고의 업무 파트너!이제 일잘러의 기준은 Copilot이다.일하는 방식이 바뀌면, 일하는 사람이 달라진다. 『M365 Copilot 무작정 따라하기』는 M365 Copilot의 작동 방법은 물론, 일잘러라면 꼭 알아야...",https://www.yes24.com/product/goods/145015291
이게 되네? 업무 자동화 미친 활용 앱스 스크립트 with 챗GPT,서휘승,골든래빗,2024년 11월,32000,28800,3,"5,274",N/A,"버튼 한 번 딸깍하면 3일 치 반복 업무 뚝딱!혁신적인 업무 자동화를 원한다면45가지 미친 자동화 예제 지금 만나보세요!매일 반복하는 업무, 이제는 자동화로 해결하자! ‘자동화는 어렵고 코드는 복잡해...'라고 ...",https://www.yes24.com/product/goods/135722461
AI 디자인,"신호진, 강경희, 최종수",길벗,2024년 09월,27000,24300,33,"8,574",N/A,"실무 디자이너가 알려주는 시간과 비용을 절감,AI의 협업과 작업 프로세스 노하우 미드저니, 챗GPT, DALL-E, 제미나이, 포토샵 사용법부터 비주얼 프롬프트(목업) 사전까지 수록생성형 AI를 이용한 이미지 생성이 일...",https://www.yes24.com/product/goods/133237852
컴퓨터 비전과 딥러닝,오일석,한빛아카데미,2023년 01월,39000,38610,9,"2,580",N/A,OpenCV와 텐서플로를 활용한 85개 파이썬 프로그램으로 배우는 컴퓨터 비전첫째! 이론과 실습으로 균형 있게 배우는 컴퓨터 비전! 고전 방법과 딥러닝 방법으로 컴퓨터 비전 이론을 배우고 85개 파이썬 프로그램 실...,https://www.yes24.com/product/goods/116755317
